repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category4_surface_mentions/jgravelle__jcodemunch-mcp,jgravelle__jcodemunch-mcp,category4_surface_mentions,https://github.com/jgravelle/jcodemunch-mcp.git,1700,278,False,License,2026-04-19T16:57:04-05:00,7,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category4_surface_mentions/jiep__offensive-ai-compilation,jiep__offensive-ai-compilation,category4_surface_mentions,https://github.com/jiep/offensive-ai-compilation.git,1400,158,False,CC-BY-SA-4.0,2026-04-04T07:04:40+00:00,23,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/jnMetaCode__agency-agents-zh,jnMetaCode__agency-agents-zh,category4_surface_mentions,https://github.com/jnMetaCode/agency-agents-zh.git,8700,1700,False,MIT,2026-04-19T20:02:35+08:00,7,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/jnMetaCode__superpowers-zh,jnMetaCode__superpowers-zh,category4_surface_mentions,https://github.com/jnMetaCode/superpowers-zh.git,1500,170,False,MIT,2026-04-19T20:02:31+08:00,7,0-30d,4,0,1,4,0,0,23,20,2,0,3,True,unsafe_command_or_execution_surface,1
category4_surface_mentions/jsynowiec__node-typescript-boilerplate,jsynowiec__node-typescript-boilerplate,category4_surface_mentions,https://github.com/jsynowiec/node-typescript-boilerplate.git,2900,564,False,Apache-2.0,2026-04-10T18:27:43+02:00,16,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category4_surface_mentions/jxzhangjhu__Awesome-LLM-RAG,jxzhangjhu__Awesome-LLM-RAG,category4_surface_mentions,https://github.com/jxzhangjhu/Awesome-LLM-RAG.git,1300,78,False,,2026-04-19T20:38:17-07:00,7,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/kaansenol5__VibeOS,kaansenol5__VibeOS,category4_surface_mentions,https://github.com/kaansenol5/VibeOS.git,1200,85,False,MIT,2026-01-27T19:28:39+01:00,89,31-90d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/kaiban-ai__KaibanJS,kaiban-ai__KaibanJS,category4_surface_mentions,https://github.com/kaiban-ai/KaibanJS.git,1400,142,False,MIT,2026-04-17T18:27:34-05:00,9,0-30d,0,0,0,0,0,0,3,0,0,0,1,False,,
category4_surface_mentions/kairichard__awesome-nocode-lowcode,kairichard__awesome-nocode-lowcode,category4_surface_mentions,https://github.com/kairichard/awesome-nocode-lowcode.git,1200,166,False,CC0-1.0,2026-04-17T13:06:06+02:00,9,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/keitaoouchi__MarkdownView,keitaoouchi__MarkdownView,category4_surface_mentions,https://github.com/keitaoouchi/MarkdownView.git,2200,227,False,MIT,2026-03-06T22:58:27+09:00,51,31-90d,0,0,0,0,0,0,4,0,0,0,1,False,,
category4_surface_mentions/kenryu42__claude-code-safety-net,kenryu42__claude-code-safety-net,category4_surface_mentions,https://github.com/kenryu42/claude-code-safety-net.git,1300,59,False,MIT,2026-03-27T18:22:09+09:00,30,0-30d,0,0,0,0,0,0,3,0,1,0,2,False,,
category4_surface_mentions/kingkongshot__Pensieve,kingkongshot__Pensieve,category4_surface_mentions,https://github.com/kingkongshot/Pensieve.git,2500,258,False,MIT,2026-03-20T22:02:58+08:00,37,31-90d,0,0,0,0,0,0,1,1,0,0,2,True,,
category4_surface_mentions/kohya-ss__musubi-tuner,kohya-ss__musubi-tuner,category4_surface_mentions,https://github.com/kohya-ss/musubi-tuner.git,1800,263,False,,2026-04-15T18:00:08+09:00,11,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/kohya-ss__sd-scripts,kohya-ss__sd-scripts,category4_surface_mentions,https://github.com/kohya-ss/sd-scripts.git,7000,1200,False,Apache-2.0,2026-04-07T08:53:13+09:00,20,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/langchain-ai__open-swe,langchain-ai__open-swe,category4_surface_mentions,https://github.com/langchain-ai/open-swe.git,9700,1100,False,MIT,2026-04-17T13:43:42-07:00,9,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/langgptai__awesome-claude-prompts,langgptai__awesome-claude-prompts,category4_surface_mentions,https://github.com/langgptai/awesome-claude-prompts.git,5000,527,False,,2026-02-28T09:53:30+08:00,58,31-90d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/langwatch__better-agents,langwatch__better-agents,category4_surface_mentions,https://github.com/langwatch/better-agents.git,1500,149,False,MIT,2026-02-22T14:10:16+01:00,63,31-90d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/leerob__directories,leerob__directories,category4_surface_mentions,https://github.com/leerob/directories.git,3900,672,False,,2026-04-20T17:23:23+02:00,6,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/letta-ai__claude-subconscious,letta-ai__claude-subconscious,category4_surface_mentions,https://github.com/letta-ai/claude-subconscious.git,2700,197,False,MIT,2026-04-15T17:13:09-07:00,11,0-30d,0,0,0,0,0,0,1,0,1,0,1,False,,
category4_surface_mentions/letta-ai__letta-code,letta-ai__letta-code,category4_surface_mentions,https://github.com/letta-ai/letta-code.git,2400,245,False,Apache-2.0,2026-04-20T22:11:17-07:00,6,0-30d,7,0,3,7,0,0,53,13,0,0,3,True,unsafe_command_or_execution_surface,1
category4_surface_mentions/lichess-org__mobile,lichess-org__mobile,category4_surface_mentions,https://github.com/lichess-org/mobile.git,2200,400,False,GPL-3.0,2026-04-20T13:40:22+02:00,6,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/limecloud__lime,limecloud__lime,category4_surface_mentions,https://github.com/limecloud/lime.git,1400,199,False,,2026-04-20T22:32:26+08:00,6,0-30d,0,0,0,0,0,0,28,26,0,0,2,True,,
category4_surface_mentions/lineofflight__frankfurter,lineofflight__frankfurter,category4_surface_mentions,https://github.com/lineofflight/frankfurter.git,1400,149,False,MIT,2026-04-21T00:23:11+02:00,6,0-30d,0,0,0,0,0,0,4,2,0,0,2,True,,
category4_surface_mentions/lingfengQAQ__webnovel-writer,lingfengQAQ__webnovel-writer,category4_surface_mentions,https://github.com/lingfengQAQ/webnovel-writer.git,2900,567,False,GPL-3.0,2026-04-10T18:22:55+08:00,16,0-30d,5,0,1,5,0,0,9,8,1,0,3,True,unsafe_command_or_execution_surface,1
