repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/firecrawl__firecrawl,firecrawl__firecrawl,../agent-instruction-corpus/clones/category1_top_instruction_repos/firecrawl__firecrawl,https://github.com/firecrawl/firecrawl.git,firecrawl,firecrawl,True,113000,7200,False,AGPL-3.0,2026-04-20T10:11:30-03:00,2026-04-20T10:11:30-03:00,1,6,6,0-30d,True
category1_top_instruction_repos/flutter__flutter,flutter__flutter,../agent-instruction-corpus/clones/category1_top_instruction_repos/flutter__flutter,https://github.com/flutter/flutter.git,flutter,flutter,True,176000,30300,False,BSD-3-Clause,2026-04-20T10:43:38+00:00,2026-04-20T10:43:38+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/freeCodeCamp__freeCodeCamp,freeCodeCamp__freeCodeCamp,../agent-instruction-corpus/clones/category1_top_instruction_repos/freeCodeCamp__freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp.git,freeCodeCamp,freeCodeCamp,True,444000,44400,False,BSD-3-Clause,2026-04-20T20:49:36+05:30,2026-04-20T20:49:36+05:30,1,6,6,0-30d,True
category1_top_instruction_repos/ggml-org__llama.cpp,ggml-org__llama.cpp,../agent-instruction-corpus/clones/category1_top_instruction_repos/ggml-org__llama.cpp,https://github.com/ggml-org/llama.cpp.git,ggml-org,llama.cpp,True,107000,17400,False,MIT,2026-04-20T07:37:17-07:00,2026-04-20T07:37:17-07:00,1,6,6,0-30d,True
category1_top_instruction_repos/google-gemini__gemini-cli,google-gemini__gemini-cli,../agent-instruction-corpus/clones/category1_top_instruction_repos/google-gemini__gemini-cli,https://github.com/google-gemini/gemini-cli.git,google-gemini,gemini-cli,True,103000,13400,False,Apache-2.0,2026-04-18T00:08:02+00:00,2026-04-18T00:08:02+00:00,1,9,9,0-30d,True
category1_top_instruction_repos/huggingface__transformers,huggingface__transformers,../agent-instruction-corpus/clones/category1_top_instruction_repos/huggingface__transformers,https://github.com/huggingface/transformers.git,huggingface,transformers,True,160000,33000,False,Apache-2.0,2026-04-20T13:44:55+00:00,2026-04-20T13:44:55+00:00,1,6,6,0-30d,True
category1_top_instruction_repos/jaywcjlove__awesome-mac,jaywcjlove__awesome-mac,../agent-instruction-corpus/clones/category1_top_instruction_repos/jaywcjlove__awesome-mac,https://github.com/jaywcjlove/awesome-mac.git,jaywcjlove,awesome-mac,True,103000,7700,False,CC0-1.0,2026-04-18T08:10:03+00:00,2026-04-18T08:10:03+00:00,1,9,9,0-30d,True
category1_top_instruction_repos/langchain-ai__langchain,langchain-ai__langchain,../agent-instruction-corpus/clones/category1_top_instruction_repos/langchain-ai__langchain,https://github.com/langchain-ai/langchain.git,langchain-ai,langchain,True,135000,22300,False,MIT,2026-04-19T11:06:26-04:00,2026-04-19T11:06:26-04:00,1,7,7,0-30d,True
category1_top_instruction_repos/langflow-ai__langflow,langflow-ai__langflow,../agent-instruction-corpus/clones/category1_top_instruction_repos/langflow-ai__langflow,https://github.com/langflow-ai/langflow.git,langflow-ai,langflow,True,147000,8900,False,MIT,2026-04-15T08:41:09-07:00,2026-04-15T08:41:09-07:00,1,11,11,0-30d,True
category1_top_instruction_repos/langgenius__dify,langgenius__dify,../agent-instruction-corpus/clones/category1_top_instruction_repos/langgenius__dify,https://github.com/langgenius/dify.git,langgenius,dify,True,139000,21800,False,License,2026-04-20T13:43:17+00:00,2026-04-20T13:43:17+00:00,1,6,6,0-30d,True
